Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
1.03,,,,,,,,,,,,0.0
1.04,,,,,,,,,,,,0.0
1.05,,,,,,,,,,,,0.0
1.06,,,,,,,,,,,,0.0
1.07,,,,,,,,,,,,0.0
1.08,,,,,,,,,,,,0.0
1.09,,,,,,,,,,,,0.0
1.1,,,,,,,,,,,,0.0
1.11,,,,,,,,,,,,0.0
1.12,,,,,,,,,,,,0.0
1.13,,,,,,,,,,,,0.0
1.14,,,,,,,,,,,,0.0
1.15,,,,,,,,,,,,0.0
1.16,,,,,,,,,,,,0.0
1.17,,,,,,,,,,,,0.0
1.18,,,,,,,,,,,,0.0
1.19,,,,,,,,,,,,0.0
1.2,,,,,,,,,,,,0.0
1.21,,,,,,,,,,,,0.0
1.22,,,,,,,,,,,,0.0
1.23,,,,,,,,,,,,0.0
1.24,,,,,,,,,,,,0.0
1.25,,,,,,,,,,,,0.0
1.26,,,,,,,,,,,,0.0
1.27,,,,,,,,,,,,0.0
1.28,,,,,,,,,,,,0.0
1.29,,,,,,,,,,,,0.0
1.3,,,,,,,,,,,,0.0
1.31,,,,,,,,,,,,0.0
1.32,,,,,,,,,,,,0.0
1.33,,,,,,,,,,,,0.0
1.34,,,,,,,,,,,,0.0
1.35,,,,,,,,,,,,0.0
1.36,,,,,,,,,,,,0.0
1.37,,,,,,,,,,,,0.0
1.38,,,,,,,,,,,,0.0
1.39,,,,,,,,,,,,0.0
1.4,,,,,,,,,,,,0.0
1.41,,,,,,,,,,,,0.0
1.42,,,,,,,,,,,,0.0
1.43,,,,,,,,,,,,0.0
1.44,,,,,,,,,,,,0.0
1.45,,,,,,,,,,,,0.0
1.46,,,,,,,,,,,,0.0
1.47,,,,,,,,,,,,0.0
1.48,,,,,,,,,,,,0.0
1.49,,,,,,,,,,,,0.0
1.5,,,,,,,,,,,,0.0
1.51,,,,,,,,,,,,0.0
1.52,,,,,,,,,,,,0.0
1.53,,,,,,,,,,,,0.0
1.54,,,,,,,,,,,,0.0
1.55,,,,,,,,,,,,0.0
1.56,,,,,,,,,,,,0.0
1.57,,,,,,,,,,,,0.0
1.58,,,,,,,,,,,,0.0
1.59,,,,,,,,,,,,0.0
1.6,,,,,,,,,,,,0.0
1.61,,,,,,,,,,,,0.0
1.62,,,,,,,,,,,,0.0
1.63,,,,,,,,,,,,0.0
1.64,,,,,,,,,,,,0.0
1.65,,,,,,,,,,,,0.0
1.66,,,,,,,,,,,,0.0
1.67,,,,,,,,,,,,0.0
1.68,,,,,,,,,,,,0.0
1.69,,,,,,,,,,,,0.0
1.7,,,,,,,,,,,,0.0
1.71,,,,,,,,,,,,0.0
1.72,,,,,,,,,,,,0.0
1.73,,,,,,,,,,,,0.0
1.74,,,,,,,,,,,,0.0
1.75,,,,,,,,,,,,0.0
1.76,,,,,,,,,,,,0.0
1.77,,,,,,,,,,,,0.0
1.78,,,,,,,,,,,,0.0
1.79,,,,,,,,,,,,0.0
1.8,,,,,,,,,,,,0.0
1.81,,,,,,,,,,,,0.0
1.82,,,,,,,,,,,,0.0
1.83,,,,,,,,,,,,0.0
1.84,,,,,,,,,,,,0.0
1.85,,,,,,,,,,,,0.0
1.86,,,,,,,,,,,,0.0
1.87,,,,,,,,,,,,0.0
1.88,,,,,,,,,,,,0.0
1.89,,,,,,,,,,,,0.0
1.9,,,,,,,,,,,,0.0
1.91,,,,,,,,,,,,0.0
1.92,,,,,,,,,,,,0.0
1.93,,,,,,,,,,,,0.0
1.94,,,,,,,,,,,,0.0
1.95,,,,,,,,,,,,0.0
1.96,,,,,,,,,,,,0.0
1.97,,,,,,,,,,,,0.0
1.98,,,,,,,,,,,,0.0
1.99,,,,,,,,,,,,0.0
2.0,,,,,,,,,,,,0.0
2.01,,,,,,,,,,,,0.0
2.02,,,,,,,,,,,,0.0
2.03,,,,,,,,,,,,0.0
2.04,,,,,,,,,,,,0.0
2.05,,,,,,,,,,,,0.0
2.06,,,,,,,,,,,,0.0
2.07,,,,,,,,,,,,0.0
2.08,,,,,,,,,,,,0.0
2.09,,,,,,,,,,,,0.0
2.1,,,,,,,,,,,,0.0
2.11,,,,,,,,,,,,0.0
2.12,,,,,,,,,,,,0.0
2.13,,,,,,,,,,,,0.0
2.14,,,,,,,,,,,,0.0
2.15,,,,,,,,,,,,0.0
2.16,,,,,,,,,,,,0.0
2.17,,,,,,,,,,,,0.0
2.18,,,,,,,,,,,,0.0
2.19,,,,,,,,,,,,0.0
2.2,,,,,,,,,,,,0.0
2.21,,,,,,,,,,,,0.0
2.22,,,,,,,,,,,,0.0
2.23,,,,,,,,,,,,0.0
2.24,,,,,,,,,,,,0.0
2.25,,,,,,,,,,,,0.0
2.26,,,,,,,,,,,,0.0
2.27,,,,,,,,,,,,0.0
2.28,,,,,,,,,,,,0.0
2.29,,,,,,,,,,,,0.0
2.3000000000000003,,,,,,,,,,,,0.0
2.31,,,,,,,,,,,,0.0
2.32,,,,,,,,,,,,0.0
2.33,,,,,,,,,,,,0.0
2.34,,,,,,,,,,,,0.0
2.35,,,,,,,,,,,,0.0
2.36,,,,,,,,,,,,0.0
2.37,,,,,,,,,,,,0.0
2.38,,,,,,,,,,,,0.0
2.39,,,,,,,,,,,,0.0
2.4,,,,,,,,,,,,0.0
2.41,,,,,,,,,,,,0.0
2.42,,,,,,,,,,,,0.0
2.43,,,,,,,,,,,,0.0
2.44,,,,,,,,,,,,0.0
2.45,,,,,,,,,,,,0.0
2.46,,,,,,,,,,,,0.0
2.47,,,,,,,,,,,,0.0
2.48,,,,,,,,,,,,0.0
2.49,,,,,,,,,,,,0.0
2.5,,,,,,,,,,,,0.0
2.51,,,,,,,,,,,,0.0
2.52,,,,,,,,,,,,0.0
2.53,,,,,,,,,,,,0.0
2.54,,,,,,,,,,,,0.0
2.5500000000000003,,,,,,,,,,,,0.0
2.56,,,,,,,,,,,,0.0
2.57,,,,,,,,,,,,0.0
2.58,,,,,,,,,,,,0.0
2.59,,,,,,,,,,,,0.0
2.6,,,,,,,,,,,,0.0
2.61,,,,,,,,,,,,0.0
2.62,,,,,,,,,,,,0.0
2.63,,,,,,,,,,,,0.0
2.64,,,,,,,,,,,,0.0
2.65,,,,,,,,,,,,0.0
2.66,,,,,,,,,,,,0.0
2.67,,,,,,,,,,,,0.0
2.68,,,,,,,,,,,,0.0
2.69,,,,,,,,,,,,0.0
2.7,,,,,,,,,,,,0.0
2.71,,,,,,,,,,,,0.0
2.72,,,,,,,,,,,,0.0
2.73,,,,,,,,,,,,0.0
2.74,,,,,,,,,,,,0.0
2.75,,,,,,,,,,,,0.0
2.76,,,,,,,,,,,,0.0
2.77,,,,,,,,,,,,0.0
2.78,,,,,,,,,,,,0.0
2.79,,,,,,,,,,,,0.0
2.8000000000000003,,,,,,,,,,,,0.0
2.81,,,,,,,,,,,,0.0
2.82,,,,,,,,,,,,0.0
2.83,,,,,,,,,,,,0.0
2.84,,,,,,,,,,,,0.0
2.85,,,,,,,,,,,,0.0
2.86,,,,,,,,,,,,0.0
2.87,,,,,,,,,,,,0.0
2.88,,,,,,,,,,,,0.0
2.89,,,,,,,,,,,,0.0
2.9,,,,,,,,,,,,0.0
2.91,,,,,,,,,,,,0.0
2.92,,,,,,,,,,,,0.0
2.93,,,,,,,,,,,,0.0
2.94,,,,,,,,,,,,0.0
2.95,,,,,,,,,,,,0.0
2.96,,,,,,,,,,,,0.0
2.97,,,,,,,,,,,,0.0
2.98,,,,,,,,,,,,0.0
2.99,,,,,,,,,,,,0.0
3.0,,,,,,,,,,,,0.0
3.01,,,,,,,,,,,,0.0
3.02,,,,,,,,,,,,0.0
3.03,,,,,,,,,,,,0.0
3.04,,,,,,,,,,,,0.0
3.0500000000000003,,,,,,,,,,,,0.0
3.06,,,,,,,,,,,,0.0
3.0700000000000003,,,,,,,,,,,,0.0
3.08,,,,,,,,,,,,0.0
3.09,,,,,,,,,,,,0.0
3.1,,,,,,,,,,,,0.0
3.11,,,,,,,,,,,,0.0
3.12,,,,,,,,,,,,0.0
3.13,,,,,,,,,,,,0.0
3.14,,,,,,,,,,,,0.0
3.15,,,,,,,,,,,,0.0
3.16,,,,,,,,,,,,0.0
3.17,,,,,,,,,,,,0.0
3.18,,,,,,,,,,,,0.0
3.19,,,,,,,,,,,,0.0
3.2,,,,,,,,,,,,0.0
3.21,,,,,,,,,,,,0.0
3.22,,,,,,,,,,,,0.0
3.23,,,,,,,,,,,,0.0
3.24,,,,,,,,,,,,0.0
3.25,,,,,,,,,,,,0.0
3.26,,,,,,,,,,,,0.0
3.27,,,,,,,,,,,,0.0
3.28,,,,,,,,,,,,0.0
3.29,,,,,,,,,,,,0.0
3.3000000000000003,,,,,,,,,,,,0.0
3.31,,,,,,,,,,,,0.0
3.3200000000000003,,,,,,,,,,,,0.0
3.33,,,,,,,,,,,,0.0
3.34,,,,,,,,,,,,0.0
3.35,,,,,,,,,,,,0.0
3.36,,,,,,,,,,,,0.0
3.37,,,,,,,,,,,,0.0
3.38,,,,,,,,,,,,0.0
3.39,,,,,,,,,,,,0.0
3.4,,,,,,,,,,,,0.0
3.41,,,,,,,,,,,,0.0
3.42,,,,,,,,,,,,0.0
3.43,,,,,,,,,,,,0.0
3.44,,,,,,,,,,,,0.0
3.45,,,,,,,,,,,,0.0
3.46,,,,,,,,,,,,0.0
3.47,,,,,,,,,,,,0.0
3.48,,,,,,,,,,,,0.0
3.49,,,,,,,,,,,,0.0
3.5,,,,,,,,,,,,0.0
3.51,,,,,,,,,,,,0.0
3.52,,,,,,,,,,,,0.0
3.53,,,,,,,,,,,,0.0
3.54,,,,,,,,,,,,0.0
3.5500000000000003,,,,,,,,,,,,0.0
3.56,,,,,,,,,,,,0.0
3.5700000000000003,,,,,,,,,,,,0.0
3.58,,,,,,,,,,,,0.0
3.59,,,,,,,,,,,,0.0
3.6,,,,,,,,,,,,0.0
3.61,,,,,,,,,,,,0.0
3.62,,,,,,,,,,,,0.0
3.63,,,,,,,,,,,,0.0
3.64,,,,,,,,,,,,0.0
3.65,,,,,,,,,,,,0.0
3.66,,,,,,,,,,,,0.0
3.67,,,,,,,,,,,,0.0
3.68,,,,,,,,,,,,0.0
3.69,,,,,,,,,,,,0.0
3.7,,,,,,,,,,,,0.0
3.71,,,,,,,,,,,,0.0
3.72,,,,,,,,,,,,0.0
3.73,,,,,,,,,,,,0.0
3.74,,,,,,,,,,,,0.0
3.75,,,,,,,,,,,,0.0
3.76,,,,,,,,,,,,0.0
3.77,,,,,,,,,,,,0.0
3.78,,,,,,,,,,,,0.0
3.79,,,,,,,,,,,,0.0
3.8,,,,,,,,,,,,0.0
3.81,,,,,,,,,,,,0.0
3.82,,,,,,,,,,,,0.0
3.83,,,,,,,,,,,,0.0
3.84,,,,,,,,,,,,0.0
3.85,,,,,,,,,,,,0.0
3.86,,,,,,,,,,,,0.0
3.87,,,,,,,,,,,,0.0
3.88,,,,,,,,,,,,0.0
3.89,,,,,,,,,,,,0.0
3.9,,,,,,,,,,,,0.0
3.91,,,,,,,,,,,,0.0
3.92,,,,,,,,,,,,0.0
3.93,,,,,,,,,,,,0.0
3.94,,,,,,,,,,,,0.0
3.95,,,,,,,,,,,,0.0
3.96,,,,,,,,,,,,0.0
3.97,,,,,,,,,,,,0.0
3.98,,,,,,,,,,,,0.0
3.99,,,,,,,,,,,,0.0
4.0,,,,,,,,,,,,0.0
4.01,,,,,,,,,,,,0.0
4.0200000000000005,,,,,,,,,,,,0.0
4.03,,,,,,,,,,,,0.0
4.04,,,,,,,,,,,,0.0
4.05,,,,,,,,,,,,0.0
4.0600000000000005,,,,,,,,,,,,0.0
4.07,,,,,,,,,,,,0.0
4.08,,,,,,,,,,,,0.0
4.09,,,,,,,,,,,,0.0
4.1,,,,,,,,,,,,0.0
4.11,,,,,,,,,,,,0.0
4.12,,,,,,,,,,,,0.0
4.13,,,,,,,,,,,,0.0
4.14,,,,,,,,,,,,0.0
4.15,,,,,,,,,,,,0.0
4.16,,,,,,,,,,,,0.0
4.17,,,,,,,,,,,,0.0
4.18,,,,,,,,,,,,0.0
4.19,,,,,,,,,,,,0.0
4.2,,,,,,,,,,,,0.0
4.21,,,,,,,,,,,,0.0
4.22,,,,,,,,,,,,0.0
4.23,,,,,,,,,,,,0.0
4.24,,,,,,,,,,,,0.0
4.25,,,,,,,,,,,,0.0
4.26,,,,,,,,,,,,0.0
4.2700000000000005,,,,,,,,,,,,0.0
4.28,,,,,,,,,,,,0.0
4.29,,,,,,,,,,,,0.0
4.3,,,,,,,,,,,,0.0
4.3100000000000005,,,,,,,,,,,,0.0
4.32,,,,,,,,,,,,0.0
4.33,,,,,,,,,,,,0.0
4.34,,,,,,,,,,,,0.0
4.3500000000000005,,,,,,,,,,,,0.0
4.36,,,,,,,,,,,,0.0
4.37,,,,,,,,,,,,0.0
4.38,,,,,,,,,,,,0.0
4.39,,,,,,,,,,,,0.0
4.4,,,,,,,,,,,,0.0
4.41,,,,,,,,,,,,0.0
4.42,,,,,,,,,,,,0.0
4.43,,,,,,,,,,,,0.0
4.44,,,,,,,,,,,,0.0
4.45,,,,,,,,,,,,0.0
4.46,,,,,,,,,,,,0.0
4.47,,,,,,,,,,,,0.0
4.48,,,,,,,,,,,,0.0
4.49,,,,,,,,,,,,0.0
4.5,,,,,,,,,,,,0.0
4.51,,,,,,,,,,,,0.0
4.5200000000000005,,,,,,,,,,,,0.0
4.53,,,,,,,,,,,,0.0
4.54,,,,,,,,,,,,0.0
4.55,,,,,,,,,,,,0.0
4.5600000000000005,,,,,,,,,,,,0.0
4.57,,,,,,,,,,,,0.0
4.58,,,,,,,,,,,,0.0
4.59,,,,,,,,,,,,0.0
4.6000000000000005,,,,,,,,,,,,0.0
4.61,,,,,,,,,,,,0.0
4.62,,,,,,,,,,,,0.0
4.63,,,,,,,,,,,,0.0
4.64,,,,,,,,,,,,0.0
4.65,,,,,,,,,,,,0.0
4.66,,,,,,,,,,,,0.0
4.67,,,,,,,,,,,,0.0
4.68,,,,,,,,,,,,0.0
4.69,,,,,,,,,,,,0.0
4.7,,,,,,,,,,,,0.0
4.71,,,,,,,,,,,,0.0
4.72,,,,,,,,,,,,0.0
4.73,,,,,,,,,,,,0.0
4.74,,,,,,,,,,,,0.0
4.75,,,,,,,,,,,,0.0
4.76,,,,,,,,,,,,0.0
4.7700000000000005,,,,,,,,,,,,0.0
4.78,,,,,,,,,,,,0.0
4.79,,,,,,,,,,,,0.0
4.8,,,,,,,,,,,,0.0
4.8100000000000005,,,,,,,,,,,,0.0
4.82,,,,,,,,,,,,0.0
4.83,,,,,,,,,,,,0.0
4.84,,,,,,,,,,,,0.0
4.8500000000000005,,,,,,,,,,,,0.0
4.86,,,,,,,,,,,,0.0
4.87,,,,,,,,,,,,0.0
4.88,,,,,,,,,,,,0.0
4.89,,,,,,,,,,,,0.0
4.9,,,,,,,,,,,,0.0
4.91,,,,,,,,,,,,0.0
4.92,,,,,,,,,,,,0.0
4.93,,,,,,,,,,,,0.0
4.94,,,,,,,,,,,,0.0
4.95,,,,,,,,,,,,0.0
4.96,,,,,,,,,,,,0.0
4.97,,,,,,,,,,,,0.0
4.98,,,,,,,,,,,,0.0
4.99,,,,,,,,,,,,0.0
